,end_time
0,25/1
1,5/0/01
2,/01
3,22/901
4,5/09/1
5,5/0
6,225/09/1
7,/9/
8,20/01
9,/01
10,225/0/0
11,0/0
12,225/09/1
13,/1
14,/01
15,2/1
16,5/09/1
17,25//
18,/9/01
19,20//01
20,//01
21,0/01
22,/1
23,225/0/1
24,25/0
25,2/01
26,0/901
27,20//01
28,/01
