,start_time
0,215/21
1,015/1/01
2,/12
3,2/121
4,15/01
5,151/01
6,215/01
7,015//01
8,2012/
9,2/121
10,2015/2/01
11,051/01
12,215//01
13,21/121
14,01/0
15,21/121
16,15/101
17,201/1/01
18,2/12
19,2012/
20,201/1/01
21,015/1/01
22,1/12
23,215/21
24,0151/01
25,21/12
26,1/1/
27,212/
28,01/0
